Run_ID,Seed,K,Population_Size,Archive_Size,Max_Generations,Crossover_Rate,Mutation_Rate,Total_Evaluations,Final_HV,Final_HV_Ratio,Final_ND_Count,Final_Best_F1,Final_Best_F2,Runtime_ms
259,42,7,200,100,50,0.90,0.10,15200,1.209420,0.999520,8,0.649083,0.247218,8297
260,123,7,200,100,50,0.90,0.10,15200,1.209122,0.999274,11,0.671664,0.332792,8005
261,7,7,200,100,50,0.90,0.10,15200,1.209669,0.999727,6,0.657006,0.211382,7827
262,42,7,200,100,50,0.90,0.20,15200,1.209569,0.999644,11,0.639355,0.295147,8034
263,123,7,200,100,50,0.90,0.20,15200,1.209794,0.999830,13,0.643771,0.270682,8001
264,7,7,200,100,50,0.90,0.20,15200,1.209298,0.999420,5,0.652627,0.220512,8056
265,42,7,200,100,50,0.90,0.30,15200,1.209348,0.999461,9,0.639932,0.276512,8303
266,123,7,200,100,50,0.90,0.30,15200,1.209332,0.999448,7,0.642645,0.258647,8424
267,7,7,200,100,50,0.90,0.30,15200,1.209673,0.999730,15,0.632490,0.220973,8629
268,42,7,200,100,50,0.90,0.40,15200,1.209101,0.999257,16,0.659268,0.217363,8673
269,123,7,200,100,50,0.90,0.40,15200,1.209564,0.999640,6,0.686164,0.266827,8583
270,7,7,200,100,50,0.90,0.40,15200,1.209214,0.999350,14,0.647454,0.218290,8440
